E#1 / keV,N#1,E#10 / keV,N#10
62.8,0,62.8,0
63,0,63,0
63.2,0,63.2,0
63.4,0,63.4,0
63.7,0,63.7,0
63.9,0,63.9,0
64.1,0,64.1,0
64.4,0,64.4,0
64.6,0,64.6,0
64.8,0,64.8,1
65.1,0,65.1,0
65.3,0,65.3,0
65.5,0,65.5,0
65.8,0,65.8,0
66,0,66,0
66.2,0,66.2,0
66.4,0,66.4,0
66.7,0,66.7,0
66.9,0,66.9,0
67.1,0,67.1,0
67.4,1,67.4,0
67.6,0,67.6,0
67.8,0,67.8,0
68.1,0,68.1,0
68.3,0,68.3,0
68.5,0,68.5,0
68.7,0,68.7,0
69,0,69,0
69.2,0,69.2,1
69.4,0,69.4,0
69.7,0,69.7,0
69.9,0,69.9,0
70.1,0,70.1,0
70.4,0,70.4,0
70.6,0,70.6,0
70.8,0,70.8,0
71,0,71,1
71.3,0,71.3,0
71.5,0,71.5,0
71.7,0,71.7,0
72,0,72,0
72.2,0,72.2,0
72.4,0,72.4,0
72.7,0,72.7,0
72.9,0,72.9,0
73.1,0,73.1,0
73.3,0,73.3,0
73.6,0,73.6,0
73.8,0,73.8,0
74,0,74,0
74.3,0,74.3,0
74.5,0,74.5,0
74.7,0,74.7,0
75,0,75,0
75.2,0,75.2,0
75.4,0,75.4,0
75.6,0,75.6,0
75.9,0,75.9,0
76.1,1,76.1,0
76.3,0,76.3,0
76.6,1,76.6,0
76.8,0,76.8,0
77,1,77,0
77.3,1,77.3,0
77.5,0,77.5,0
77.7,0,77.7,0
78,0,78,0
78.2,0,78.2,0
78.4,0,78.4,0
78.6,0,78.6,0
78.9,1,78.9,0
79.1,0,79.1,0
79.3,0,79.3,0
79.6,0,79.6,0
79.8,0,79.8,0
80,0,80,0
80.3,0,80.3,0
80.5,0,80.5,0
80.7,0,80.7,0
80.9,1,80.9,0
81.2,0,81.2,0
81.4,0,81.4,0
81.6,0,81.6,0
81.9,0,81.9,0
82.1,1,82.1,0
82.3,0,82.3,0
82.6,0,82.6,0
82.8,0,82.8,0
83,0,83,0
83.2,0,83.2,0
83.5,0,83.5,0
83.7,0,83.7,0
83.9,0,83.9,0
84.2,0,84.2,0
84.4,0,84.4,0
84.6,0,84.6,0
84.9,0,84.9,0
85.1,0,85.1,0
85.3,0,85.3,0
85.5,0,85.5,0
85.8,0,85.8,0
86,0,86,0
86.2,0,86.2,0
86.5,0,86.5,0
86.7,0,86.7,0
86.9,0,86.9,0
87.2,0,87.2,0
87.4,0,87.4,0
87.6,0,87.6,0
87.9,0,87.9,0
88.1,0,88.1,0
88.3,0,88.3,0
88.5,0,88.5,0
88.8,0,88.8,0
89,0,89,0
89.2,0,89.2,0
89.5,0,89.5,0
89.7,0,89.7,0
89.9,0,89.9,0
90.2,0,90.2,0
90.4,0,90.4,0
90.6,0,90.6,0
90.8,0,90.8,0
91.1,0,91.1,0
91.3,0,91.3,0
91.5,0,91.5,0
91.8,0,91.8,0
92,0,92,0
92.2,0,92.2,0
92.5,0,92.5,0
92.7,0,92.7,0
92.9,0,92.9,0
93.1,0,93.1,0
93.4,0,93.4,0
93.6,0,93.6,0
93.8,0,93.8,0
94.1,0,94.1,0
94.3,0,94.3,0
94.5,0,94.5,0
94.8,0,94.8,0
95,0,95,0
95.2,0,95.2,0
95.4,0,95.4,0
95.7,0,95.7,0
95.9,0,95.9,0
96.1,0,96.1,0
96.4,0,96.4,0
96.6,0,96.6,0
96.8,0,96.8,0
97.1,0,97.1,0
97.3,0,97.3,0
97.5,0,97.5,0
97.8,0,97.8,0
98,0,98,0
98.2,0,98.2,0
98.4,0,98.4,0
98.7,0,98.7,0
98.9,0,98.9,0
99.1,0,99.1,0
99.4,0,99.4,0
99.6,0,99.6,0
99.8,0,99.8,0
100.1,0,100.1,0
100.3,0,100.3,0
100.5,0,100.5,0
